title,author,letter,entry_number,title_length,author_last_name,genre_hints
The Biographer's Tale,A.S. Byatt,B,58,21,Byatt,General Fiction
Queen of Babble,Meg Cabot,Q,32,15,Cabot,General Fiction
The Anchoress,Robyn Cadwallader,A,84,13,Cadwallader,General Fiction
The Postman Always Rings Twice,James M. Cain,P,62,30,Cain,General Fiction
Quiet,Susan Cain,Q,15,5,Cain,General Fiction
The Queen of Everything,Deb Caletti,Q,87,23,Caletti,General Fiction
Adrift,Steven Callahan,A,57,6,Callahan,General Fiction
Queen of the Conquered,Kacen Callender,Q,84,22,Callender,General Fiction
If on a winter's night a traveler,Italo Calvino,I,34,33,Calvino,General Fiction
Invisible Cities,Italo Calvino,I,8,16,Calvino,General Fiction
The Hero with a Thousand Faces,Joseph Campbell,H,32,30,Campbell,General Fiction
Exile and the Kingdom,Albert Camus,E,29,21,Camus,General Fiction
The Fall,Albert Camus,F,27,8,Camus,General Fiction
The Plague,Albert Camus,P,16,10,Camus,General Fiction
The Stranger,Albert Camus,S,13,12,Camus,General Fiction
The Stranger,Albert Camus,T,56,12,Camus,General Fiction
Chicken Soup for the Soul,Jack Canfield,C,76,25,Canfield,General Fiction
Breakfast at Tiffany's,Truman Capote,B,6,22,Capote,General Fiction
In Cold Blood,Truman Capote,C,55,13,Capote,General Fiction
In Cold Blood,Truman Capote,I,2,13,Capote,General Fiction
In Cold Blood,Truman Capote,I,75,13,Capote,General Fiction
"Other Voices, Other Rooms",Truman Capote,O,57,25,Capote,General Fiction
Ender's Game,Orson Scott Card,E,8,12,Card,General Fiction
Ender's Shadow,Orson Scott Card,E,20,14,Card,General Fiction
Xenocide,Orson Scott Card,X,2,8,Card,General Fiction
The Girl with All the Gifts,M.R. Carey,G,71,27,Carey,General Fiction
Jack Maggs,Peter Carey,J,51,10,Carey,General Fiction
How to Win Friends and Influence People,Dale Carnegie,H,33,39,Carnegie,General Fiction
The Path to Power,Robert Caro,P,55,17,Caro,General Fiction
The Alienist,Caleb Carr,A,76,12,Carr,General Fiction
The Basketball Diaries,Jim Carroll,B,34,22,Carroll,General Fiction
Alice's Adventures in Wonderland,Lewis Carroll,A,4,32,Carroll,Fantasy
Jabberwocky,Lewis Carroll,J,53,11,Carroll,Fantasy
Through the Looking Glass,Lewis Carroll,T,21,25,Carroll,Fantasy
Our Kind of Traitor,John le Carré,O,63,19,Carré,General Fiction
The Constant Gardener,John le Carré,C,45,21,Carré,General Fiction
The Honourable Schoolboy,John le Carré,H,82,24,Carré,General Fiction
The Night Manager,John le Carré,N,30,17,Carré,General Fiction
The Pigeon Tunnel,John le Carré,P,100,17,Carré,General Fiction
Silent Spring,Rachel Carson,S,10,13,Carson,General Fiction
Gilligan's Wake,Tom Carson,G,12,15,Carson,General Fiction
Nights at the Circus,Angela Carter,N,84,20,Carter,General Fiction
The Hurricane,Rubin Carter,H,44,13,Carter,General Fiction
Jericho's Fall,Stephen Carter,J,73,14,Carter,General Fiction
What We Talk About When We Talk About Love,Raymond Carver,W,84,42,Carver,Romance
Where I'm Calling From,Raymond Carver,W,54,22,Carver,General Fiction
Journey to Ixtlan,Carlos Castaneda,J,27,17,Castaneda,General Fiction
My Antonia,Willa Cather,M,9,10,Cather,General Fiction
The Vorrh,B. Catling,V,23,9,Catling,General Fiction
The Luminists,Eleanor Catton,L,71,13,Catton,General Fiction
You're It,Tag Cavello,Y,98,9,Cavello,General Fiction
Don Quixote,Miguel de Cervantes,D,4,11,Cervantes,General Fiction
The Ingenious Gentleman Don Quixote,Miguel de Cervantes,I,60,35,Cervantes,General Fiction
Moonglow,Michael Chabon,M,90,8,Chabon,General Fiction
The Amazing Adventures of Kavalier & Clay,Michael Chabon,A,14,41,Chabon,General Fiction
The Amazing Adventures of Kavalier & Clay,Michael Chabon,T,43,41,Chabon,General Fiction
The Final Solution,Michael Chabon,F,63,18,Chabon,General Fiction
The Wonder Boys,Michael Chabon,W,69,15,Chabon,General Fiction
The Yiddish Policemen's Union,Michael Chabon,Y,15,29,Chabon,General Fiction
Necessary Lies,Diane Chamberlain,N,46,14,Chamberlain,General Fiction
The Big Sleep,Raymond Chandler,B,15,13,Chandler,Mystery/Crime
The Lady in the Lake,Raymond Chandler,L,86,20,Chandler,Mystery/Crime
The Long Goodbye,Raymond Chandler,L,30,16,Chandler,Mystery/Crime
Sacred Games,Vikram Chandra,S,98,12,Chandra,General Fiction
Wild Swans,Jung Chang,W,57,10,Chang,General Fiction
You Remind Me of Me,Dan Chaon,Y,54,19,Chaon,General Fiction
The Five Love Languages,Gary Chapman,F,22,23,Chapman,Romance
In Patagonia,Bruce Chatwin,I,90,12,Chatwin,General Fiction
The Canterbury Tales,Geoffrey Chaucer,C,11,20,Chaucer,General Fiction
The Perks of Being a Wallflower,Stephen Chbosky,P,10,31,Chbosky,General Fiction
Queen of the Night,Alexander Chee,Q,36,18,Chee,General Fiction
The Enormous Radio,John Cheever,E,56,18,Cheever,General Fiction
The Five-Forty-Eight,John Cheever,F,77,20,Cheever,General Fiction
The Stories of John Cheever,John Cheever,S,42,27,Cheever,General Fiction
The Wapshot Chronicle,John Cheever,W,91,21,Cheever,General Fiction
The Cherry Orchard,Anton Chekhov,C,41,18,Chekhov,General Fiction
The Cherry Orchard,Anton Chekhov,T,63,18,Chekhov,General Fiction
The Seagull,Anton Chekhov,T,64,11,Chekhov,General Fiction
Three Sisters,Anton Chekhov,T,65,13,Chekhov,General Fiction
Uncle Vanya,Anton Chekhov,U,9,11,Chekhov,General Fiction
Journey to the West,Wu Cheng'en,J,42,19,Cheng'en,General Fiction
Alexander Hamilton,Ron Chernow,A,26,18,Chernow,General Fiction
Ulysses S. Grant,Ron Chernow,U,19,16,Chernow,General Fiction
Washington,Ron Chernow,W,70,10,Chernow,General Fiction
In the Shadow of the Moon,Amy Cherrix,I,83,25,Cherrix,General Fiction
The French Chef,Julia Child,F,65,15,Child,General Fiction
Gone Tomorrow,Lee Child,G,70,13,Child,General Fiction
Killing Floor,Lee Child,K,68,13,Child,General Fiction
One Shot,Lee Child,O,77,8,Child,General Fiction
Past Tense,Lee Child,P,59,10,Child,General Fiction
The Hard Way,Lee Child,H,73,12,Child,General Fiction
The Jack Reacher Series,Lee Child,J,35,23,Child,General Fiction
The Riddle of the Sands,Erskine Childers,R,68,23,Childers,General Fiction
The Heir Chronicles,Cinda Williams Chima,H,61,19,Chima,General Fiction
The Warrior Heir,Cinda Williams Chima,W,35,16,Chima,War/Military
My Education,Susan Choi,M,93,12,Choi,General Fiction
Understanding Power,Noam Chomsky,U,40,19,Chomsky,General Fiction
The Awakening,Kate Chopin,A,19,13,Chopin,General Fiction
The Joy That Kills,Kate Chopin,J,28,18,Chopin,General Fiction
The Quantum Theory Cannot Hurt You,Marcus Chown,Q,60,34,Chown,General Fiction
The Jade Peony,Wayson Choy,J,72,14,Choy,General Fiction
And Then There Were None,Agatha Christie,A,7,24,Christie,Mystery/Crime
Evil Under the Sun,Agatha Christie,E,78,18,Christie,Mystery/Crime
Murder on the Orient Express,Agatha Christie,M,51,28,Christie,Mystery/Crime | Mystery/Crime
The Mirror Crack'd,Agatha Christie,M,60,18,Christie,Mystery/Crime
The Murder of Roger Ackroyd,Agatha Christie,M,21,27,Christie,Mystery/Crime | Mystery/Crime
The Quilt,Ismat Chughtai,Q,37,9,Chughtai,General Fiction
The Divinity Student,Michael Cisco,D,94,20,Cisco,General Fiction
The House on Mango Street,Sandra Cisneros,H,22,25,Cisneros,General Fiction
Red Storm Rising,Tom Clancy,R,79,16,Clancy,General Fiction
The Hunt for Red October,Tom Clancy,H,27,24,Clancy,General Fiction
Without Remorse,Tom Clancy,W,86,15,Clancy,General Fiction
X-Men: Days of Future Past,Chris Claremont,X,22,26,Claremont,Science Fiction
X-Men: Phoenix,Dark Phoenix Saga - Chris Claremont,X,43,14,Claremont,General Fiction
Kitchen Privileges,Mary Higgins Clark,K,54,18,Clark,General Fiction
Childhood's End,Arthur C. Clarke,C,26,15,Clarke,Science Fiction
The Fountains of Paradise,Arthur C. Clarke,F,36,25,Clarke,Science Fiction
Shogun,James Clavell,S,59,6,Clavell,General Fiction
Atomic Habits,James Clear,A,82,13,Clear,General Fiction
Ramona Forever,Beverly Cleary,R,52,14,Cleary,General Fiction
"Ramona Quimby, Age 8",Beverly Cleary,R,81,20,Cleary,General Fiction
Ramona the Pest,Beverly Cleary,R,33,15,Cleary,General Fiction
The Mouse and the Motorcycle,Beverly Cleary,M,58,28,Cleary,General Fiction
Little Bee,Chris Cleave,L,73,10,Cleave,Children
The Other Hand,Chris Cleave,O,94,14,Cleave,General Fiction
The Girls,Emma Cline,G,77,9,Cline,General Fiction
Ready Player One,Ernest Cline,R,8,16,Cline,General Fiction
Ghost World,Daniel Clowes,G,20,11,Clowes,General Fiction
Between the World and Me,Ta-Nehisi Coates,B,52,24,Coates,General Fiction
The Water Dancer,Ta-Nehisi Coates,W,7,16,Coates,General Fiction
The Royal We,Heather Cocks,R,44,12,Cocks,General Fiction
Eleven Minutes,Paulo Coelho,E,88,14,Coelho,General Fiction
The Alchemist,Paulo Coelho,A,9,13,Coelho,General Fiction
The Alchemist,Paulo Coelho,T,30,13,Coelho,General Fiction
Veronika Decides to Die,Paulo Coelho,V,56,23,Coelho,General Fiction
The Russian,Ben Coes,R,23,11,Coes,General Fiction
Disgrace,J.M. Coetzee,D,25,8,Coetzee,General Fiction
Open City,Teju Cole,O,33,9,Cole,General Fiction
Artemis Fowl,Eoin Colfer,A,49,12,Colfer,General Fiction
Nine Horses,Billy Collins,N,89,11,Collins,General Fiction
When Everything Changed,Gail Collins,W,90,23,Collins,General Fiction
The Road to Perdition,Max Allan Collins,R,45,21,Collins,General Fiction
The Hunger Games,Suzanne Collins,H,4,16,Collins,General Fiction
The Hunger Games,Suzanne Collins,T,6,16,Collins,General Fiction
The Moonstone,Wilkie Collins,M,91,13,Collins,General Fiction
The Woman in White,Wilkie Collins,W,24,18,Collins,General Fiction
Pinocchio,Carlo Collodi,P,23,9,Collodi,General Fiction
The Joy of Sex,Alex Comfort,J,16,14,Comfort,General Fiction
The Book of Lost Things,John Connolly,B,26,23,Connolly,General Fiction
The Unquiet,John Connolly,U,67,11,Connolly,General Fiction
Heart of Darkness,Joseph Conrad,H,7,17,Conrad,Romance
Nostromo,Joseph Conrad,N,32,8,Conrad,General Fiction
Victory,Joseph Conrad,V,19,7,Conrad,General Fiction
The Great Santini,Pat Conroy,G,48,17,Conroy,General Fiction
The Zookeeper's War,Steven Conte,Z,32,19,Conte,War/Military
Eleanor Roosevelt,Blanche Wiesen Cook,E,48,17,Cook,General Fiction
The Handmaid and the Carpenter,Hugh Cook,H,54,30,Cook,General Fiction
Vital Signs,Robin Cook,V,48,11,Cook,General Fiction
The Last of the Mohicans,James Fenimore Cooper,L,15,24,Cooper,General Fiction
Riders,Jilly Cooper,R,93,6,Cooper,General Fiction
Lover,Anna Corinne,L,31,5,Corinne,Romance
The Chocolate War,Robert Cormier,C,18,17,Cormier,War/Military
The Flame Bearer,Bernard Cornwell,F,95,16,Cornwell,General Fiction
The Last Kingdom,Bernard Cornwell,L,70,16,Cornwell,General Fiction
Of Fire and Stars,Audrey Coulthurst,O,93,17,Coulthurst,General Fiction
The Potato Factory,Bryce Courtenay,P,44,18,Courtenay,General Fiction
Jennifer Murdley's Toad,Bruce Coville,J,81,23,Coville,General Fiction
The Quantum Universe,Brian Cox,Q,12,20,Cox,General Fiction
The Meaning of Night,Michael Cox,M,63,20,Cox,General Fiction
Quarantine,Jim Crace,Q,11,10,Crace,General Fiction
The Open Boat,Stephen Crane,O,32,13,Crane,General Fiction
The Red Badge of Courage,Stephen Crane,R,14,24,Crane,General Fiction
Walk Two Moons,Sharon Creech,W,14,14,Creech,General Fiction
Jurassic Park,Michael Crichton,J,2,13,Crichton,General Fiction
Next,Michael Crichton,N,39,4,Crichton,General Fiction
The Andromeda Strain,Michael Crichton,A,45,20,Crichton,General Fiction
The Great Train Robbery,Michael Crichton,G,38,23,Crichton,General Fiction
The Citadel,A.J. Cronin,C,33,11,Cronin,General Fiction
The Judas Tree,A.J. Cronin,J,46,14,Cronin,General Fiction
I Was Told There'd Be Cake,Sloane Crosley,I,49,26,Crosley,General Fiction
Flow,Mihaly Csikszentmihalyi,F,44,4,Csikszentmihalyi,General Fiction
The Evolving Self,Mihaly Csikszentmihalyi,E,59,17,Csikszentmihalyi,General Fiction
Columbine,Dave Cullen,C,59,9,Cullen,General Fiction
American Dirt,Jeanine Cummins,A,100,13,Cummins,General Fiction
Flesh and Blood,Michael Cunningham,F,78,15,Cunningham,General Fiction
The Hours,Michael Cunningham,H,11,9,Cunningham,General Fiction
The Illusionist,Mason Currey,I,53,15,Currey,General Fiction
Bucking the Sarge,Christopher Paul Curtis,B,84,17,Curtis,General Fiction
Journey of the Pharaohs,Clive Cussler,J,79,23,Cussler,General Fiction
Zero Hour,Clive Cussler,Z,45,9,Cussler,General Fiction
Eagle Blue,Michael D'Orso,E,51,10,D'Orso,General Fiction
James and the Giant Peach,Roald Dahl,J,4,25,Dahl,Children
Matilda,Roald Dahl,M,17,7,Dahl,Children
The Witches,Roald Dahl,W,58,11,Dahl,Children
The Glass Books of the Dream Eaters,Gordon Dahlquist,G,92,35,Dahlquist,Children
Nervous Conditions,Tsitsi Dangarembga,N,18,18,Dangarembga,General Fiction
House of Leaves,Mark Z. Danielewski,H,9,15,Danielewski,General Fiction
Only Revolutions,Mark Z. Danielewski,O,72,16,Danielewski,General Fiction
Sweetbitter,Stephanie Danler,S,46,11,Danler,General Fiction
The Origin of Species,Charles Darwin,O,16,21,Darwin,General Fiction
The Death Cure,James Dashner,D,82,14,Dashner,General Fiction
The Maze Runner,James Dashner,M,6,15,Dashner,General Fiction
X-Men: X-Factor Investigations,Peter David,X,81,30,David,General Fiction
European History,Norman Davies,E,55,16,Davies,Biography/History
Rebel Angels,Robertson Davies,R,97,12,Davies,General Fiction
The Deptford Trilogy,Robertson Davies,D,47,20,Davies,General Fiction
The Zinnia and the Bee,Danielle Davis,Z,13,22,Davis,General Fiction
Jeffrey Dahmer,Don Davis,J,69,14,Davis,General Fiction
The Dollhouse,Fiona Davis,D,31,13,Davis,General Fiction
Vision Quest,Terry Davis,V,94,12,Davis,General Fiction
The God Delusion,Richard Dawkins,G,26,16,Dawkins,General Fiction
The Violence,Delilah S. Dawson,V,47,12,Dawson,General Fiction
You're Never Weird on the Internet,Felicia Day,Y,74,34,Day,General Fiction
Falling Man,Don DeLillo,F,82,11,DeLillo,General Fiction
Underworld,Don DeLillo,U,21,10,DeLillo,General Fiction
White Noise,Don DeLillo,W,28,11,DeLillo,General Fiction
The Quest,Nelson DeMille,Q,35,9,DeMille,General Fiction
Up Country,Nelson DeMille,U,75,10,DeMille,General Fiction
The Last Samurai,Helen DeWitt,L,21,16,DeWitt,General Fiction
The King of the Crags,Stephen Deas,K,87,21,Deas,General Fiction
The Vanished Man,Jeffery Deaver,V,73,16,Deaver,General Fiction
The Yellow Star,Carmen Agra Deedy,Y,51,15,Deedy,General Fiction
Moll Flanders,Daniel Defoe,M,55,13,Defoe,General Fiction
Robinson Crusoe,Daniel Defoe,R,2,15,Defoe,General Fiction
The Honest Whore,Thomas Dekker,T,78,16,Dekker,General Fiction
The Shoemaker's Holiday,Thomas Dekker,T,75,23,Dekker,General Fiction
The Last Apprentice: Revenge of the Witch,Joseph Delaney,L,81,41,Delaney,General Fiction
Love Letters to the Dead,Ava Dellaira,L,98,24,Dellaira,Romance
Other People's Children,Lisa Delpit,O,88,23,Delpit,Children
Nothing to Envy,Barbara Demick,N,64,15,Demick,General Fiction
Riders on the Storm,John Densmore,R,60,19,Densmore,General Fiction
The Village by the Sea,Anita Desai,V,92,22,Desai,General Fiction
Evicted,Matthew Desmond,E,24,7,Desmond,General Fiction
Just Listen,Sarah Dessen,J,95,11,Dessen,General Fiction
Knight in Shining Armor,Jude Deveraux,K,27,23,Deveraux,General Fiction
The Miraculous Journey of Edward Tulane,Kate DiCamillo,M,30,39,DiCamillo,War/Military
The Red Tent,Anita Diamant,R,28,12,Diamant,General Fiction
"Guns, Germs, and Steel",Jared Diamond,G,24,22,Diamond,General Fiction
A Scanner Darkly,Philip K. Dick,A,92,16,Dick,General Fiction
Do Androids Dream of Electric Sheep?,Philip K. Dick,D,19,36,Dick,General Fiction
The Man in the High Castle,Philip K. Dick,M,34,26,Dick,General Fiction
The Zap Gun,Philip K. Dick,Z,24,11,Dick,General Fiction
The Ghost and Mrs. Muir,R.A. Dick,G,35,23,Dick,General Fiction
A Christmas Carol,Charles Dickens,C,4,17,Dickens,General Fiction
A Tale of Two Cities,Charles Dickens,A,5,20,Dickens,General Fiction
Bleak House,Charles Dickens,B,28,11,Dickens,General Fiction
David Copperfield,Charles Dickens,D,2,17,Dickens,General Fiction
Dombey and Son,Charles Dickens,D,27,14,Dickens,General Fiction
Hard Times,Charles Dickens,H,24,10,Dickens,General Fiction
Little Dorrit,Charles Dickens,L,100,13,Dickens,Children
Nicholas Nickleby,Charles Dickens,N,26,17,Dickens,General Fiction
Oliver Twist,Charles Dickens,O,6,12,Dickens,General Fiction
Our Mutual Friend,Charles Dickens,O,26,17,Dickens,General Fiction
The Pickwick Papers,Charles Dickens,P,42,19,Dickens,General Fiction
The Tale of Two Cities,Charles Dickens,T,22,22,Dickens,General Fiction
The Merchant's Daughter,Melanie Dickerson,M,79,23,Dickerson,General Fiction
Deliverance,James Dickey,D,44,11,Dickey,General Fiction
Play It as It Lays,Joan Didion,P,28,18,Didion,General Fiction
The White Album,Joan Didion,W,33,15,Didion,General Fiction
The Year of Magical Thinking,Joan Didion,Y,5,28,Didion,Fantasy
Primal Fear,William Diehl,P,47,11,Diehl,General Fiction
The Language of Flowers,Vanessa Diffenbaugh,L,65,23,Diffenbaugh,General Fiction
Out of Africa,Isak Dinesen,O,15,13,Dinesen,General Fiction
The Lion King,Disney,L,18,13,Disney,General Fiction
Ursula K. Le Guin,The Dispossessed,U,35,17,Dispossessed,General Fiction
Vivian Grey,Benjamin Disraeli,V,11,11,Disraeli,General Fiction
Neptune's Children,Bonnie Dobkin,N,53,18,Dobkin,Children
Homeland,Cory Doctorow,H,87,8,Doctorow,General Fiction
City of God,E.L. Doctorow,C,48,11,Doctorow,General Fiction
Ragtime,E.L. Doctorow,R,10,7,Doctorow,General Fiction
The March,E.L. Doctorow,M,70,9,Doctorow,General Fiction
All the Light We Cannot See,Anthony Doerr,A,83,27,Doerr,General Fiction
Room,Emma Donoghue,R,19,4,Donoghue,General Fiction
The Aristotle Detective,Margaret Doody,A,67,23,Doody,Mystery/Crime
Crime and Punishment,Fyodor Dostoevsky,C,1,20,Dostoevsky,Mystery/Crime
Notes from Underground,Fyodor Dostoevsky,D,17,22,Dostoevsky,General Fiction
Notes from Underground,Fyodor Dostoevsky,N,11,22,Dostoevsky,General Fiction
The Brothers Karamazov,Fyodor Dostoevsky,B,4,22,Dostoevsky,General Fiction
The Brothers Karamazov,Fyodor Dostoevsky,T,60,22,Dostoevsky,General Fiction
The Idiot,Fyodor Dostoevsky,I,14,9,Dostoevsky,General Fiction
The Idiot,Fyodor Dostoevsky,T,61,9,Dostoevsky,General Fiction
The Possessed,Fyodor Dostoevsky,T,62,13,Dostoevsky,General Fiction
Smoke Gets in Your Eyes,Caitlin Doughty,S,71,23,Doughty,General Fiction
The Robe,Lloyd C. Douglas,R,18,8,Douglas,General Fiction
The Zone,Sergei Dovlatov,Z,19,8,Dovlatov,General Fiction
Sherlock Holmes,Arthur Conan Doyle,S,7,15,Doyle,Mystery/Crime
The Adventures of Sherlock Holmes,Arthur Conan Doyle,A,51,33,Doyle,Mystery/Crime
The Exploits of Brigadier Gerard,Arthur Conan Doyle,E,64,32,Doyle,Mystery/Crime
The Lost World,Arthur Conan Doyle,L,57,14,Doyle,Mystery/Crime
The Sign of Four,Arthur Conan Doyle,S,89,16,Doyle,Mystery/Crime
The Valley of Fear,Arthur Conan Doyle,V,78,18,Doyle,Mystery/Crime
"I Love You, Beth Cooper",Larry Doyle,I,62,23,Doyle,Romance | Mystery/Crime
The Van,Roddy Doyle,V,81,7,Doyle,Mystery/Crime
Jerusalem the Golden,Margaret Drabble,J,67,20,Drabble,General Fiction
The Ice Age,Margaret Drabble,I,41,11,Drabble,General Fiction
The Radiant Way,Margaret Drabble,R,51,15,Drabble,General Fiction
Copper Sun,Sharon Draper,C,87,10,Draper,General Fiction
Sister Carrie,Theodore Dreiser,S,22,13,Dreiser,General Fiction
The People of Sparks,Jeanne DuPrau,P,48,20,DuPrau,General Fiction
The Young Wizards,Diane Duane,Y,39,17,Duane,Fantasy
The Count of Monte Cristo,Alexandre Dumas,C,9,25,Dumas,General Fiction
The Three Musketeers,Alexandre Dumas,T,20,20,Dumas,General Fiction
Not That Kind of Girl,Lena Dunham,N,61,21,Dunham,General Fiction
Ingo,Helen Dunmore,I,26,4,Dunmore,General Fiction
Ella Minnow Pea,Mark Dunn,E,33,15,Dunn,General Fiction
Never Home Alone,Rob Dunn,N,86,16,Dunn,General Fiction
Zero Visibility,Sharon Dunn,Z,89,15,Dunn,General Fiction
The Brief Wondrous Life of Oscar Wao,Junot Díaz,B,13,36,Díaz,Biography/History
Half Magic,Edward Eager,H,90,10,Eager,Fantasy
Zigzag Street,Nick Earls,Z,18,13,Earls,General Fiction
The Name of the Rose,Umberto Eco,T,55,20,Eco,General Fiction
Unity of Good,Mary Baker Eddy,U,27,13,Eddy,General Fiction
Vera,Carol Edgarian,V,41,4,Edgarian,General Fiction
Half Blood Blues,Esi Edugyan,H,57,16,Edugyan,General Fiction
A Visit from the Goon Squad,Jennifer Egan,A,78,27,Egan,General Fiction
A Visit from the Goon Squad,Jennifer Egan,V,31,27,Egan,General Fiction
The Keep,Jennifer Egan,K,12,8,Egan,General Fiction
A Heartbreaking Work of Staggering Genius,Dave Eggers,A,95,41,Eggers,Romance
A Heartbreaking Work of Staggering Genius,Dave Eggers,H,16,41,Eggers,Romance
The Circle,Dave Eggers,C,16,10,Eggers,General Fiction
What Is the What,Dave Eggers,W,67,16,Eggers,General Fiction
You Shall Know Our Velocity,Dave Eggers,Y,21,27,Eggers,General Fiction
Nickel and Dimed,Barbara Ehrenreich,N,93,16,Ehrenreich,General Fiction
Nest,Esther Ehrlich,N,36,4,Ehrlich,General Fiction
Middlemarch,George Eliot,M,5,11,Eliot,General Fiction
The Mill on the Floss,George Eliot,M,44,21,Eliot,General Fiction
The Waste Land,T.S. Eliot,W,4,14,Eliot,General Fiction
The Invisible Man,Ralph Ellison,I,3,17,Ellison,General Fiction
The Joys of Motherhood,Buchi Emecheta,J,21,22,Emecheta,General Fiction
The Neverending Story,Michael Ende,N,28,21,Ende,General Fiction
Volcano,Shusaku Endo,V,99,7,Endo,General Fiction
Peace Like a River,Leif Enger,P,17,18,Enger,General Fiction
For the Relief of Unbearable Urges,Nathan Englander,F,60,34,Englander,General Fiction
X-Files: The Calusari,Garth Ennis,X,54,21,Ennis,General Fiction
The Gathering,Anne Enright,G,22,13,Enright,General Fiction
The Green Road,Anne Enright,G,83,14,Enright,General Fiction
Yesterday's Weather,Anne Enright,Y,16,19,Enright,General Fiction
Sudden Death,Álvaro Enrigue,S,96,12,Enrigue,General Fiction
The Business of Being Born,Abby Epstein,B,96,26,Epstein,General Fiction
The Embers and the Stars,Kohák Erazim,E,62,24,Erazim,General Fiction
The Master Butchers Singing Club,Louise Erdrich,M,95,32,Erdrich,General Fiction
Quaking,Kathryn Erskine,Q,34,7,Erskine,General Fiction
Esperanza's Box of Saints,María Amparo Escandón,E,40,25,Escandón,General Fiction
Like Water for Chocolate,Laura Esquivel,L,33,24,Esquivel,General Fiction
Eugenides' The Virgin Suicides,Jeffrey Eugenides,E,57,30,Eugenides,General Fiction
Middlesex,Jeffrey Eugenides,M,39,9,Eugenides,General Fiction
The Marriage Plot,Jeffrey Eugenides,M,94,17,Eugenides,General Fiction
The Virgin Suicides,Jeffrey Eugenides,V,34,19,Eugenides,General Fiction
The Horse Whisperer,Nicholas Evans,H,43,19,Evans,General Fiction
Erasure,Percival Everett,E,90,7,Everett,General Fiction
The Universe Versus Alex Woods,Gavin Extence,U,60,30,Extence,General Fiction
The Spirit Catches You and You Fall Down,Anne Fadiman,S,29,40,Fadiman,General Fiction
Queen Bee,Jane Fallon,Q,52,9,Fallon,General Fiction
You Know When the Men Are Gone,Siobhan Fallon,Y,42,30,Fallon,General Fiction
The Night Ocean,Paul La Farge,N,87,15,Farge,General Fiction
"Yoga Mind, Body & Spirit",Donna Farhi,Y,84,24,Farhi,General Fiction
The Green Book,Peter Farrelly,G,68,14,Farrelly,General Fiction
"Absalom, Absalom!",William Faulkner,A,15,17,Faulkner,General Fiction
As I Lay Dying,William Faulkner,F,19,14,Faulkner,General Fiction
Light in August,William Faulkner,L,23,15,Faulkner,General Fiction
The Bear,William Faulkner,B,55,8,Faulkner,General Fiction
The Sound and the Fury,William Faulkner,S,11,22,Faulkner,General Fiction
The Unvanquished,William Faulkner,U,7,16,Faulkner,General Fiction
Birdsong,Sebastian Faulks,B,16,8,Faulks,General Fiction
Yolanda's Genius,Carol Fenner,Y,24,16,Fenner,General Fiction
One Thousand White Women,Jim Fergus,O,95,24,Fergus,General Fiction
My Brilliant Friend,Elena Ferrante,M,77,19,Ferrante,General Fiction
The Unnamed,Joshua Ferris,U,54,11,Ferris,General Fiction
When Prophecy Fails,Leon Festinger,W,97,19,Festinger,General Fiction
Bossypants,Tina Fey,B,86,10,Fey,General Fiction
The Eyre Affair,Jasper Fforde,E,32,15,Fforde,General Fiction
Bridget Jones's Diary,Helen Fielding,B,9,21,Fielding,General Fiction
Understanding the Universe,Alex Filippenko,U,56,26,Filippenko,General Fiction
Vanished,Joseph Finder,V,16,8,Finder,General Fiction
Finding Fish,Antwone Fisher,F,94,12,Fisher,General Fiction
Understood Betsy,Dorothy Canfield Fisher,U,51,16,Fisher,General Fiction
Getting to Yes,Roger Fisher,G,63,14,Fisher,General Fiction
The Great War for Civilisation,Robert Fisk,G,62,30,Fisk,War/Military
White Oleander,Janet Fitch,W,61,14,Fitch,General Fiction
Julia Child,Noel Riley Fitch,J,34,11,Fitch,General Fiction
Jazz Age,F. Scott Fitzgerald,J,91,8,Fitzgerald,General Fiction
The Beautiful and Damned,F. Scott Fitzgerald,B,22,24,Fitzgerald,General Fiction
The Curious Case of Benjamin Button,F. Scott Fitzgerald,C,46,35,Fitzgerald,General Fiction
The Great Gatsby,F. Scott Fitzgerald,G,2,16,Fitzgerald,General Fiction
The Great Gatsby,F. Scott Fitzgerald,T,2,16,Fitzgerald,General Fiction
The Last Tycoon,F. Scott Fitzgerald,L,78,15,Fitzgerald,General Fiction
Harriet the Spy,Louise Fitzhugh,H,68,15,Fitzhugh,General Fiction
Fried Green Tomatoes,Fannie Flagg,F,17,20,Flagg,General Fiction
Begging for Change,Sharon Flake,B,100,18,Flake,General Fiction
The Narrow Road to the Deep North,Richard Flanagan,N,79,33,Flanagan,General Fiction
The Unknown Terrorist,Richard Flanagan,U,74,21,Flanagan,General Fiction
Madame Bovary,Gustave Flaubert,M,7,13,Flaubert,General Fiction
Jingo Django,Sid Fleischman,J,78,12,Fleischman,General Fiction
Casino Royale,Ian Fleming,C,36,13,Fleming,General Fiction
Goldfinger,Ian Fleming,G,16,10,Fleming,General Fiction
James Bond Series,Ian Fleming,J,62,17,Fleming,General Fiction
Quantum of Solace,Ian Fleming,Q,2,17,Fleming,General Fiction
Violet & Daisy,Geoffrey Fletcher,V,29,14,Fletcher,General Fiction
The Beggars' Bush,John Fletcher,T,97,17,Fletcher,General Fiction
The Chances,John Fletcher,T,86,11,Fletcher,General Fiction
The Custom of the Country,John Fletcher,T,98,25,Fletcher,General Fiction
